Area,BHK,Bathroom,Location,Price
1314,3,4,Surat,9666369
758,1,4,Vadodara,6068186
2555,5,4,Anand,12962573
4202,4,3,Bhavnagar,17664013
3658,4,4,Anand,14985568
2477,4,1,Ahmedabad,12273193
4442,5,2,Ahmedabad,19900935
1892,5,1,Junagadh,8751349
4698,5,2,Ahmedabad,20343584
1973,1,3,Rajkot,11220090
2601,1,3,Surat,12433652
2808,4,4,Bhavnagar,13839659
4201,1,2,Gandhinagar,21299106
1359,5,1,Gandhinagar,8828696
3856,1,4,Vadodara,14979116
2692,5,4,Ahmedabad,14466617
4833,5,3,Ahmedabad,18485293
835,1,4,Rajkot,6422497
2187,2,2,Surat,12533747
3382,2,2,Vadodara,16295927
1209,2,4,Surat,7916909
3875,5,4,Vadodara,19617197
892,1,3,Ahmedabad,7884663
2478,4,4,Jamnagar,12813581
4264,4,1,Gandhinagar,18466138
2824,4,3,Ahmedabad,14288689
1636,4,1,Gandhinagar,10367040
1215,5,1,Junagadh,7701391
3066,3,3,Junagadh,12511923
2987,5,3,Junagadh,14196083
3326,1,2,Rajkot,15895299
1828,5,3,Surat,11542370
2350,4,3,Surat,12019106
3153,3,4,Vadodara,12998553
3294,4,2,Junagadh,13816403
3080,5,4,Junagadh,13232046
4008,2,3,Rajkot,14714272
4662,4,3,Gandhinagar,18295956
3903,3,3,Vadodara,20000336
4022,3,2,Vadodara,18543698
1713,2,4,Ahmedabad,10433552
2347,2,4,Junagadh,11734730
1167,3,1,Bhavnagar,7018157
1166,2,1,Gandhinagar,8833565
3562,3,4,Nadiad,15288122
3630,1,1,Gandhinagar,18973211
739,5,2,Vadodara,6234845
2782,5,4,Junagadh,10506051
4906,1,3,Bhavnagar,22314965
3390,3,2,Anand,15222866
552,1,4,Bhavnagar,4836402
921,4,4,Rajkot,7026801
3197,3,2,Surat,17332004
3539,4,1,Ahmedabad,18700461
3757,1,2,Jamnagar,18235083
1961,3,2,Ahmedabad,11059611
4556,3,2,Jamnagar,18442455
2829,2,2,Jamnagar,12792315
1888,5,4,Vadodara,11441388
2711,3,3,Anand,13370037
4060,3,2,Jamnagar,19618335
1645,4,2,Nadiad,8168384
3685,5,1,Jamnagar,13813102
3119,2,4,Rajkot,13187582
2394,1,1,Bhavnagar,11007065
4531,2,3,Rajkot,21166047
2687,5,1,Nadiad,11366818
4430,1,3,Vadodara,20166967
3410,3,4,Vadodara,16785494
2898,2,4,Rajkot,15011262
4542,2,3,Nadiad,19879722
4986,3,1,Anand,18287144
1949,5,1,Ahmedabad,12632613
3900,2,3,Ahmedabad,18176594
999,1,1,Anand,6435514
787,3,1,Gandhinagar,7646350
3309,5,3,Jamnagar,14854260
1402,4,1,Nadiad,7751691
3463,2,4,Ahmedabad,16478970
3765,4,3,Surat,15582166
3234,1,4,Bhavnagar,15594986
2056,5,4,Gandhinagar,12343580
2123,2,4,Vadodara,10534331
2441,1,2,Rajkot,11948396
2612,5,1,Rajkot,11949652
4549,3,1,Anand,19085346
1230,3,3,Ahmedabad,8300786
2851,3,1,Surat,13786182
3616,3,3,Junagadh,17655063
875,3,2,Vadodara,6602263
2582,2,3,Gandhinagar,13697321
2453,2,3,Anand,13231075
4328,2,4,Bhavnagar,20108783
2091,1,3,Nadiad,11727630
2331,2,3,Jamnagar,10972836
2597,5,3,Junagadh,13467787
926,5,4,Bhavnagar,5587577
3436,2,4,Junagadh,15642404
1931,1,3,Bhavnagar,10404866
2843,5,1,Jamnagar,14403124
4405,3,4,Anand,20029788
3511,5,3,Anand,13633871
2720,5,4,Ahmedabad,14614219
3706,3,2,Surat,15096111
505,2,3,Surat,5747045
3952,4,1,Jamnagar,17200179
2083,1,4,Ahmedabad,12235859
2728,1,3,Nadiad,14525016
3994,4,4,Bhavnagar,16788458
2135,2,3,Vadodara,10091150
2784,2,4,Jamnagar,12002692
2082,1,4,Nadiad,10335818
4886,4,2,Rajkot,23652275
3250,5,3,Anand,15078811
4676,2,4,Surat,19461843
4293,1,2,Bhavnagar,15659043
1790,3,2,Ahmedabad,11613718
2751,5,4,Jamnagar,13259166
909,4,4,Gandhinagar,8333362
2908,2,2,Anand,14980216
1654,2,3,Rajkot,9794573
2004,4,1,Anand,11100070
4582,1,4,Bhavnagar,18152850
3583,2,1,Vadodara,14603656
1908,1,3,Junagadh,9945536
1688,2,2,Gandhinagar,9915582
3882,1,4,Surat,19862578
3778,2,2,Ahmedabad,18845456
4657,3,2,Junagadh,18617786
3101,2,3,Vadodara,15208890
2208,3,2,Nadiad,9628489
3082,2,1,Surat,15481935
771,4,2,Anand,6281429
3320,2,1,Jamnagar,14111762
3605,5,4,Rajkot,13778554
1028,2,2,Anand,6608126
3521,1,4,Surat,16870184
2734,1,2,Nadiad,13929763
2379,3,3,Gandhinagar,11691515
4665,3,4,Surat,23569626
4913,5,1,Anand,22675344
2441,2,4,Gandhinagar,14096090
2984,4,4,Ahmedabad,13994024
721,1,4,Surat,6644208
4564,4,3,Junagadh,17135891
3214,5,2,Bhavnagar,15114546
1132,3,1,Surat,7446767
2531,3,1,Bhavnagar,11948118
868,3,2,Rajkot,5799044
3135,4,2,Nadiad,13256603
3226,4,1,Jamnagar,12322219
3524,3,3,Jamnagar,16232510
1252,4,4,Surat,9054531
3831,2,4,Rajkot,14751592
1378,3,1,Nadiad,7419295
3495,1,2,Vadodara,18284480
691,3,1,Bhavnagar,5668473
3045,4,1,Gandhinagar,16212769
4510,4,4,Gandhinagar,19014102
626,1,3,Junagadh,4917048
4637,1,1,Rajkot,16693179
1762,1,4,Jamnagar,9749231
1869,4,2,Rajkot,9596630
2514,3,3,Jamnagar,11136531
4972,2,1,Surat,23311582
1924,1,3,Vadodara,9456402
2946,4,1,Jamnagar,12691375
2766,5,4,Rajkot,12825735
4018,4,3,Junagadh,14775997
1326,1,4,Ahmedabad,10008587
1013,5,2,Junagadh,6021144
942,2,1,Rajkot,7084519
3660,2,1,Rajkot,14981871
1878,4,2,Bhavnagar,10506518
3373,1,4,Bhavnagar,14193677
2347,2,1,Junagadh,9897381
1052,4,2,Junagadh,5911921
2259,5,1,Bhavnagar,9205905
790,5,4,Bhavnagar,5050563
4089,2,1,Surat,20936568
3271,1,4,Rajkot,14128631
4217,1,1,Junagadh,19691050
1518,4,1,Rajkot,9075570
2604,4,2,Rajkot,12482764
2709,2,3,Jamnagar,13411546
4313,4,2,Ahmedabad,19831956
2001,4,4,Gandhinagar,11155102
924,4,1,Gandhinagar,8185910
2400,3,2,Surat,11196963
989,3,1,Nadiad,6829719
718,1,4,Surat,6633435
2461,1,2,Rajkot,12389123
1155,5,2,Jamnagar,6349358
4150,1,2,Jamnagar,19142521
4090,2,1,Nadiad,18147042
1749,4,4,Rajkot,8638699
2815,4,3,Bhavnagar,14501609
1515,5,4,Nadiad,8752970
1221,5,1,Junagadh,7508572
4826,2,1,Vadodara,18496994
4431,5,1,Vadodara,20043464
4339,4,3,Vadodara,21427228
2718,5,2,Jamnagar,14138671
4423,1,3,Ahmedabad,20286760
1542,3,3,Vadodara,9349488
3516,2,4,Bhavnagar,14134030
4243,1,3,Vadodara,19742875
4868,1,4,Vadodara,22102102
4048,3,1,Bhavnagar,19402882
4805,4,4,Ahmedabad,20075856
4909,5,4,Gandhinagar,20966319
2004,2,4,Jamnagar,10185866
4404,3,4,Bhavnagar,15594600
4104,1,1,Surat,18536973
1847,1,3,Junagadh,8978698
3265,3,3,Jamnagar,12723194
2810,2,4,Nadiad,13004295
1670,3,2,Junagadh,9178671
2493,4,4,Ahmedabad,14313785
2332,1,3,Bhavnagar,10951142
1398,2,4,Anand,9099241
3501,2,3,Jamnagar,14932242
4492,2,2,Jamnagar,20586610
1160,1,3,Anand,8220171
3524,3,4,Vadodara,15058691
1764,4,2,Gandhinagar,11576192
962,5,1,Junagadh,6298237
1624,4,3,Ahmedabad,10923361
879,2,3,Anand,7032688
3955,1,2,Ahmedabad,16483257
2191,1,2,Surat,10350767
979,1,3,Ahmedabad,7287291
1035,2,4,Rajkot,6419959
3818,1,2,Bhavnagar,17574894
582,5,1,Gandhinagar,6941621
3241,2,2,Vadodara,15606539
2088,4,4,Rajkot,11229623
617,1,2,Rajkot,5680920
4023,3,2,Jamnagar,15250336
1297,3,4,Anand,7531221
2821,4,4,Junagadh,12031943
3722,2,2,Jamnagar,15510554
1097,5,3,Jamnagar,6440399
1652,3,4,Surat,10444324
4935,2,3,Rajkot,22719585
3761,3,3,Nadiad,14957616
4043,3,3,Surat,19160316
1775,4,4,Junagadh,9632688
1738,3,3,Vadodara,9695423
4444,2,4,Ahmedabad,17354982
3925,1,4,Vadodara,17213196
2689,4,1,Nadiad,13421091
3628,3,2,Ahmedabad,17280847
4359,5,1,Nadiad,15590639
4767,1,3,Gandhinagar,18204323
4199,2,3,Surat,18964550
1784,3,1,Vadodara,10940762
3315,2,2,Gandhinagar,16418861
2316,2,1,Nadiad,11698249
4343,1,1,Nadiad,16215304
2346,3,4,Ahmedabad,14267901
863,5,2,Surat,7281496
947,2,2,Vadodara,6490633
1220,5,4,Jamnagar,7439299
4451,1,3,Ahmedabad,21635215
563,5,1,Vadodara,5982030
3495,4,4,Nadiad,14142211
4722,2,4,Gandhinagar,23864968
1832,4,2,Rajkot,10209880
1898,3,4,Vadodara,10103048
2201,2,1,Bhavnagar,10856425
4800,5,3,Anand,23335307
4470,3,2,Ahmedabad,22425535
2549,3,1,Bhavnagar,11336796
3840,4,4,Ahmedabad,16333292
4810,2,4,Nadiad,19326074
2460,4,2,Gandhinagar,13843450
3363,4,1,Gandhinagar,18685900
1488,3,1,Ahmedabad,9430371
4211,3,2,Anand,17022597
2745,3,2,Vadodara,13500265
3027,1,1,Jamnagar,14633571
1434,5,2,Surat,9185441
4590,5,3,Nadiad,21908223
1414,3,3,Vadodara,8769593
1574,4,2,Vadodara,9540592
750,2,4,Bhavnagar,5644608
1985,1,1,Surat,9906604
4746,2,2,Nadiad,19398028
4225,5,2,Anand,19241455
4647,2,3,Anand,22138027
1763,4,4,Surat,11274315
2323,2,4,Vadodara,12140501
3736,2,2,Vadodara,17384978
3184,5,1,Vadodara,16091428
1649,2,4,Bhavnagar,8630067
902,3,4,Jamnagar,6052176
1865,5,3,Bhavnagar,8482898
3678,2,4,Junagadh,15768260
940,4,1,Anand,6425497
1478,3,1,Bhavnagar,7387767
627,5,4,Nadiad,5904521
2398,5,1,Vadodara,11887337
3139,5,2,Gandhinagar,14037261
4871,2,3,Junagadh,19426929
3414,2,3,Surat,18082356
3155,4,1,Gandhinagar,13946873
1258,4,2,Rajkot,6934506
3109,5,2,Rajkot,12188051
2297,4,2,Rajkot,10676561
4225,1,1,Nadiad,19352780
3501,1,4,Anand,16893847
1983,5,1,Gandhinagar,12887340
4108,4,4,Vadodara,16602365
3393,2,2,Junagadh,12988566
1100,2,4,Rajkot,6538625
2502,4,3,Nadiad,11694643
613,5,2,Vadodara,6102576
3526,3,2,Ahmedabad,17446812
4431,3,4,Bhavnagar,19775277
1787,2,4,Surat,11319245
1389,2,1,Vadodara,9624472
1440,2,2,Anand,7667155
4762,3,1,Ahmedabad,23415444
2380,4,3,Nadiad,10276857
4759,5,2,Nadiad,19132977
4855,2,4,Surat,21662696
3809,4,2,Rajkot,17825883
4151,3,4,Nadiad,16859019
4084,2,3,Surat,18619490
2536,3,4,Bhavnagar,12732128
1554,3,2,Surat,9984788
870,5,4,Surat,6868166
1962,1,2,Ahmedabad,11117004
4651,3,3,Jamnagar,21527540
3219,2,2,Jamnagar,13662805
3058,5,4,Junagadh,14480230
665,1,2,Jamnagar,5546663
3383,3,4,Junagadh,16292745
1096,3,2,Rajkot,7102382
1330,4,3,Anand,7977425
3865,2,1,Bhavnagar,17475013
3018,3,4,Bhavnagar,12548942
3263,2,1,Nadiad,13486927
3426,3,1,Vadodara,15262284
2064,4,1,Jamnagar,11014936
4180,5,4,Bhavnagar,15669034
1736,2,3,Junagadh,8325620
3237,5,1,Gandhinagar,17905827
2362,5,4,Nadiad,10388662
4509,3,2,Anand,19060860
3313,4,1,Jamnagar,13021474
1772,4,4,Junagadh,8808209
2385,5,1,Gandhinagar,11818952
2333,5,1,Jamnagar,10449391
2936,2,2,Surat,12783014
2974,5,2,Vadodara,15591205
2963,1,2,Gandhinagar,15224003
4905,1,2,Junagadh,21581658
3363,2,2,Rajkot,16624935
2379,1,3,Junagadh,10807146
4952,5,4,Rajkot,23484500
4269,2,3,Ahmedabad,18535842
2157,2,4,Ahmedabad,12483968
4815,3,2,Anand,22568420
4820,1,2,Vadodara,17680689
3651,2,3,Rajkot,17362827
1403,5,4,Rajkot,7368192
2767,5,2,Rajkot,13524225
3789,4,1,Bhavnagar,14963883
2737,2,2,Ahmedabad,12304220
2359,5,4,Surat,10990775
3617,3,4,Bhavnagar,15523385
2522,2,4,Bhavnagar,11934263
3956,5,1,Bhavnagar,18934617
3594,5,3,Vadodara,13948226
1357,4,4,Surat,9743521
772,1,2,Bhavnagar,5623486
1726,2,3,Nadiad,10022129
1988,5,3,Vadodara,10114447
2523,2,2,Jamnagar,11064060
4865,2,4,Nadiad,22211219
2212,1,1,Rajkot,9977373
3794,2,2,Junagadh,16447986
4401,2,1,Anand,21577721
1003,4,3,Vadodara,7041711
4289,2,1,Junagadh,15773146
1378,1,1,Jamnagar,7019526
1657,5,1,Surat,10977208
908,5,4,Ahmedabad,7209141
4571,1,4,Ahmedabad,20796051
3848,3,1,Nadiad,16462303
3345,1,1,Gandhinagar,16876088
4017,5,4,Surat,17379215
4837,3,3,Jamnagar,19919899
2355,5,3,Surat,13207683
4916,4,2,Rajkot,22736950
3436,4,1,Gandhinagar,17566393
4243,1,1,Nadiad,17079120
3741,2,1,Surat,19798581
2025,3,1,Vadodara,11032761
1722,5,2,Gandhinagar,11098821
3138,5,3,Nadiad,13257791
3120,3,4,Vadodara,14655259
2406,2,2,Ahmedabad,11987363
2168,2,3,Nadiad,10668228
4247,1,3,Junagadh,15269262
4890,3,3,Rajkot,18029631
1930,2,2,Ahmedabad,11065859
2965,3,3,Ahmedabad,14131975
1576,5,1,Gandhinagar,10263362
1297,3,1,Surat,8513757
3628,5,2,Anand,18420634
573,1,3,Rajkot,4905908
2226,3,2,Anand,12370509
1468,1,1,Ahmedabad,10552602
1386,3,3,Anand,8315797
3240,1,4,Gandhinagar,14975311
2061,5,2,Surat,10012581
2814,3,1,Bhavnagar,12353969
2736,1,2,Ahmedabad,14540333
1983,2,3,Junagadh,10405185
5000,4,2,Rajkot,19627582
4651,5,3,Gandhinagar,21496007
1225,3,1,Rajkot,7494688
2089,4,3,Nadiad,11264756
3880,1,2,Gandhinagar,18535955
1931,3,3,Junagadh,10273324
642,1,3,Ahmedabad,7145003
1115,5,1,Nadiad,6886247
4213,1,1,Ahmedabad,20992033
2864,2,1,Junagadh,13267282
4939,5,3,Vadodara,21927719
1542,5,1,Jamnagar,7529978
2072,5,2,Nadiad,11722781
4673,1,3,Junagadh,20298925
4020,1,3,Jamnagar,19560851
979,1,4,Vadodara,7644165
1283,3,2,Nadiad,7358040
1199,1,1,Gandhinagar,9608758
1728,4,2,Ahmedabad,11162702
2914,2,4,Anand,14678731
3655,3,4,Surat,15494946
3690,4,4,Junagadh,16682226
1321,4,2,Nadiad,8407426
682,5,3,Jamnagar,5138871
2034,2,1,Vadodara,11919204
3608,4,4,Ahmedabad,18068555
4075,1,1,Bhavnagar,17115089
1947,1,1,Ahmedabad,12046620
846,2,2,Vadodara,6228950
3123,1,2,Bhavnagar,13807246
4589,3,3,Bhavnagar,18869356
3584,5,3,Vadodara,15242545
4428,4,3,Nadiad,18311895
1544,4,1,Ahmedabad,9080129
570,1,2,Rajkot,5439669
4672,4,1,Surat,19447629
4868,1,2,Surat,22137741
3676,1,3,Junagadh,13392775
4177,4,2,Rajkot,18161185
4361,3,3,Bhavnagar,17307348
1545,2,3,Gandhinagar,10687276
2187,3,3,Gandhinagar,12176679
3346,4,1,Ahmedabad,16258055
4407,3,1,Bhavnagar,17712558
4176,3,1,Nadiad,15946884
3796,4,1,Ahmedabad,17472005
1358,2,3,Gandhinagar,9813662
751,4,2,Ahmedabad,7535806
1935,2,3,Gandhinagar,12817939
1757,3,2,Junagadh,9540628
4011,2,3,Anand,17742379
864,3,4,Jamnagar,6456977
1335,1,3,Bhavnagar,7713897
2547,5,2,Rajkot,13052472
3348,4,3,Jamnagar,16186502
4707,4,1,Bhavnagar,16500788
2578,5,2,Rajkot,12851380
3585,1,3,Anand,14691242
2628,4,2,Ahmedabad,14291431
1477,5,4,Surat,8876346
2029,5,4,Vadodara,11748803
2140,3,3,Rajkot,9921069
1532,5,1,Anand,8618545
2582,5,3,Junagadh,13179905
4585,3,2,Nadiad,17035644
2871,4,3,Gandhinagar,14374812
2844,2,1,Gandhinagar,15690018
4470,5,1,Bhavnagar,15850893
1580,2,4,Nadiad,8306387
4808,1,4,Surat,19557534
2975,4,2,Bhavnagar,12082168
874,4,4,Junagadh,5236214
3455,2,4,Anand,16411123
4877,4,4,Jamnagar,18629012
1209,4,1,Nadiad,8010943
3853,4,1,Surat,15174849
4015,1,3,Nadiad,15165061
580,3,3,Nadiad,5119800
4347,3,4,Vadodara,18108620
3846,5,3,Rajkot,19235782
4898,2,1,Vadodara,18670676
2057,4,3,Nadiad,11002317
807,2,4,Nadiad,6484701
1303,1,4,Gandhinagar,10015572
4597,5,3,Jamnagar,16734992
1827,2,2,Ahmedabad,10605207
3284,1,3,Surat,14620794
3617,5,2,Bhavnagar,14645301
3880,3,3,Vadodara,19255683
4302,4,3,Jamnagar,21004782
4473,1,4,Gandhinagar,19095386
936,5,1,Surat,7755675
1166,5,4,Surat,7832701
3446,1,4,Gandhinagar,14992471
669,3,3,Vadodara,5955997
4783,3,3,Gandhinagar,19119930
552,4,1,Vadodara,5628077
3489,1,2,Ahmedabad,16049803
3845,5,3,Surat,17626686
2341,5,3,Bhavnagar,11043594
4105,1,4,Anand,15168026
3496,2,1,Bhavnagar,13014421
2251,3,1,Vadodara,10213729
851,5,3,Vadodara,6639245
4309,1,1,Gandhinagar,17106822
2538,3,2,Gandhinagar,14866286
4127,2,3,Nadiad,14887220
4438,2,4,Gandhinagar,21387018
4219,2,2,Anand,16399292
2453,5,4,Bhavnagar,10731771
3644,2,2,Bhavnagar,13644297
1720,2,3,Rajkot,9587196
1378,5,4,Ahmedabad,10056137
4307,3,3,Gandhinagar,20153519
1693,4,2,Rajkot,10074794
1289,4,4,Ahmedabad,8679847
1747,3,1,Anand,10647904
751,3,1,Rajkot,6167455
4103,4,3,Rajkot,19230109
1693,4,4,Vadodara,9401410
1611,4,1,Rajkot,8907298
1887,3,1,Surat,11530934
3984,1,1,Surat,18006366
4022,4,4,Nadiad,17835990
3780,1,2,Ahmedabad,17201691
2764,2,4,Rajkot,13277355
1863,2,3,Vadodara,10543447
1071,3,3,Bhavnagar,6870194
2566,2,1,Bhavnagar,10890066
1659,1,3,Gandhinagar,11105633
2821,1,4,Ahmedabad,14279097
2468,1,2,Bhavnagar,9783026
1775,1,2,Bhavnagar,8773241
4280,4,4,Jamnagar,18238607
1177,3,3,Vadodara,7766039
1516,5,4,Anand,8747963
869,2,2,Jamnagar,6456473
1953,2,3,Surat,11081977
3032,5,4,Junagadh,14394815
2586,1,3,Bhavnagar,13082422
1780,3,2,Gandhinagar,9877247
2262,2,3,Vadodara,11185264
2106,2,1,Gandhinagar,13437346
772,2,3,Jamnagar,5744403
1368,4,4,Anand,9184810
2274,2,3,Ahmedabad,12715769
2633,5,4,Nadiad,11158284
2372,3,3,Jamnagar,10227630
840,3,2,Surat,7640516
1545,2,1,Surat,9291575
3091,4,1,Junagadh,14079115
4362,1,3,Surat,17077622
1223,4,2,Nadiad,6860940
1686,5,3,Junagadh,8548207
3748,1,2,Rajkot,14015906
1111,5,3,Vadodara,7291933
4232,4,3,Gandhinagar,19248411
3707,2,2,Jamnagar,15502665
2053,5,1,Anand,10645453
3992,4,2,Rajkot,17635190
3612,1,4,Ahmedabad,14757293
2484,4,4,Jamnagar,13011885
3763,4,4,Bhavnagar,13846364
4861,5,2,Surat,20864353
3310,4,1,Vadodara,13736027
4372,3,1,Rajkot,17887904
3575,1,1,Surat,18950674
1873,4,1,Ahmedabad,11486482
4722,5,3,Bhavnagar,21039882
2979,5,3,Rajkot,14829187
1557,2,1,Anand,9519750
4039,5,2,Junagadh,16583105
1062,5,1,Jamnagar,6252164
2583,2,1,Vadodara,11331569
2522,3,2,Surat,11465080
4814,1,2,Junagadh,16770515
4704,1,2,Bhavnagar,17934701
4908,2,2,Bhavnagar,21817664
909,3,4,Gandhinagar,7825055
2196,5,4,Surat,11244875
1739,1,3,Gandhinagar,9804548
3873,2,3,Junagadh,18324713
2592,5,3,Nadiad,11184011
3662,2,2,Vadodara,14760591
4979,3,1,Anand,20144568
2188,4,4,Gandhinagar,13511894
3404,4,3,Anand,16588668
3770,5,2,Anand,15492783
3727,3,2,Jamnagar,16145694
4001,4,3,Jamnagar,16447043
4942,2,4,Nadiad,19777129
868,2,4,Ahmedabad,7388840
946,3,4,Anand,7059545
1381,4,3,Ahmedabad,9840479
1459,1,3,Vadodara,9764471
2741,3,2,Vadodara,13568082
3262,4,3,Surat,14860574
2400,1,1,Surat,14216843
4779,4,2,Anand,22301321
4197,3,4,Anand,18588389
4542,4,2,Junagadh,19270685
2172,2,1,Vadodara,10437884
3814,2,2,Jamnagar,18188862
3470,2,3,Vadodara,17515815
4400,4,2,Nadiad,20355594
825,4,3,Junagadh,5073310
3526,2,1,Rajkot,13244328
2962,4,3,Nadiad,11908225
565,3,1,Vadodara,6050727
3115,4,3,Nadiad,13351198
3818,5,4,Junagadh,14739500
2942,5,4,Jamnagar,15098145
2214,2,4,Surat,10860828
4549,5,4,Vadodara,19868997
3893,1,1,Junagadh,15513474
1810,1,4,Vadodara,8990927
1578,4,1,Gandhinagar,11392358
4190,5,1,Junagadh,15102172
4647,5,3,Surat,22147273
3564,3,4,Bhavnagar,13819536
3756,1,2,Anand,18871102
2690,3,4,Gandhinagar,15197489
2049,3,4,Nadiad,10426459
4943,1,2,Vadodara,23740615
501,4,3,Rajkot,4838134
2639,1,4,Ahmedabad,11962988
1962,2,3,Bhavnagar,10769982
991,2,4,Gandhinagar,7582592
3163,4,2,Rajkot,15138284
557,3,2,Anand,5710296
596,3,1,Rajkot,4904271
3505,2,1,Anand,14058446
2559,3,4,Gandhinagar,13335734
3634,1,4,Vadodara,17867477
2990,4,4,Gandhinagar,14021038
1509,2,2,Surat,8733234
790,4,3,Bhavnagar,5060200
4923,4,1,Rajkot,22723422
2918,2,4,Bhavnagar,13413139
555,3,4,Rajkot,4877729
1794,4,1,Ahmedabad,10599562
523,1,1,Surat,6057748
4218,4,4,Anand,19289034
2287,2,2,Surat,11502560
4117,4,4,Gandhinagar,21552192
4528,2,4,Nadiad,19335730
4386,2,1,Bhavnagar,17267886
4172,3,4,Junagadh,16878242
4210,1,3,Vadodara,18636601
2514,1,1,Surat,13953530
2841,4,3,Bhavnagar,14695179
4652,4,1,Junagadh,17385709
1096,5,1,Jamnagar,7463989
2052,2,4,Nadiad,10296746
1921,4,4,Bhavnagar,9634239
4551,2,4,Anand,21761414
788,3,2,Anand,6419644
3262,2,3,Junagadh,15952774
2613,2,2,Vadodara,13945433
1614,5,4,Gandhinagar,11009333
3552,5,3,Anand,16117464
612,5,2,Anand,5603455
3847,1,1,Anand,16572470
3787,4,2,Nadiad,18944721
1560,3,1,Anand,8953291
1737,5,2,Anand,9964141
2221,5,2,Gandhinagar,13722632
4696,3,3,Bhavnagar,21581089
3239,1,2,Bhavnagar,12271555
3816,1,1,Vadodara,17726585
1100,2,1,Nadiad,7477944
3741,1,2,Rajkot,17233064
2853,4,1,Vadodara,11902787
3894,5,4,Nadiad,15176700
4558,1,4,Jamnagar,16759740
1083,5,3,Anand,6842064
2309,2,3,Vadodara,11726013
3610,4,2,Nadiad,15441884
3359,3,1,Bhavnagar,14700295
4098,3,1,Gandhinagar,21205914
1137,4,3,Vadodara,8558586
4231,5,1,Vadodara,18462880
4353,1,3,Vadodara,17791233
550,4,3,Junagadh,4734218
4691,4,2,Nadiad,20581160
801,5,1,Junagadh,5331143
2986,5,2,Junagadh,14075243
513,5,4,Jamnagar,4537679
3073,3,2,Gandhinagar,13748978
4963,1,3,Ahmedabad,21606824
989,3,4,Ahmedabad,8515089
970,4,3,Surat,7156616
4698,4,2,Jamnagar,21600040
3414,4,3,Gandhinagar,17948929
930,3,3,Nadiad,6927630
4318,3,2,Jamnagar,20733291
2124,4,2,Rajkot,9204323
967,3,1,Surat,7407558
4026,2,4,Jamnagar,17200773
651,3,4,Anand,6173394
4191,2,4,Junagadh,16490168
3185,5,3,Surat,16156754
1374,3,3,Nadiad,7200012
2804,3,1,Nadiad,12166009
2898,4,3,Anand,14565778
4664,4,2,Junagadh,19144096
3528,2,1,Junagadh,16385741
1351,4,4,Bhavnagar,7210959
4721,1,1,Rajkot,21025384
4703,4,4,Rajkot,21853252
4454,2,1,Nadiad,19542865
2105,1,3,Surat,12393184
4388,5,4,Gandhinagar,22875736
3398,1,3,Nadiad,13325256
2182,3,1,Anand,11640095
1096,5,4,Ahmedabad,8712615
4776,5,3,Surat,19314249
2620,1,3,Jamnagar,13801218
2468,2,2,Junagadh,9696967
3623,5,4,Nadiad,17151290
1748,1,2,Rajkot,9299335
2687,5,2,Ahmedabad,14777279
4436,3,4,Vadodara,16905352
3075,4,2,Surat,14153262
3381,5,2,Ahmedabad,17991111
3960,1,2,Bhavnagar,17791398
2591,4,1,Vadodara,11813094
3354,5,3,Gandhinagar,18298539
1896,2,4,Anand,9567751
4571,5,4,Surat,17354386
1833,5,1,Ahmedabad,11563193
3766,2,1,Anand,18061896
3515,5,4,Vadodara,13884325
3619,5,3,Junagadh,12950183
3573,4,2,Gandhinagar,19366500
970,5,3,Junagadh,6473376
1509,2,2,Rajkot,7695407
1380,1,3,Anand,8530165
1208,1,2,Vadodara,8787841
3280,4,1,Rajkot,16353682
4210,5,3,Bhavnagar,19905816
4500,3,1,Jamnagar,20299915
906,2,2,Junagadh,6163814
2228,2,2,Jamnagar,10746540
1129,3,1,Vadodara,7334989
2150,1,3,Jamnagar,11372399
2488,5,2,Bhavnagar,13203317
3354,3,4,Bhavnagar,15465642
1616,5,4,Gandhinagar,10802161
4743,5,1,Jamnagar,20794734
4218,1,4,Surat,17944547
4763,4,1,Gandhinagar,20152431
1298,4,2,Nadiad,7117096
1951,4,3,Nadiad,11209598
4270,5,3,Anand,18591894
4622,4,4,Nadiad,21696777
2621,3,2,Jamnagar,11240183
3846,4,3,Anand,17385509
592,3,3,Ahmedabad,6362172
1211,5,3,Junagadh,6201806
1779,4,1,Rajkot,10391288
2241,3,2,Rajkot,9671911
1980,3,1,Surat,10917813
655,5,2,Junagadh,4551490
2468,5,2,Ahmedabad,12641021
1059,4,2,Vadodara,7916167
3789,1,2,Anand,19019576
2749,2,2,Bhavnagar,12141264
3425,4,1,Vadodara,15738636
2139,3,1,Jamnagar,11912277
1612,2,1,Anand,9722313
4307,1,2,Junagadh,14798632
1377,3,4,Gandhinagar,10227877
4053,4,3,Rajkot,16589669
3476,5,4,Bhavnagar,12714408
4918,5,2,Jamnagar,17092035
2084,4,1,Junagadh,9724580
3030,1,3,Rajkot,15889654
4403,1,1,Jamnagar,19207827
4977,2,4,Rajkot,19602252
3262,4,2,Anand,15201694
1602,3,1,Bhavnagar,8786548
2783,4,3,Surat,12533805
4129,1,3,Vadodara,16729766
3840,3,2,Nadiad,17121250
1002,1,1,Junagadh,6466650
2501,5,2,Anand,11829899
3612,5,3,Nadiad,16703598
1420,2,3,Jamnagar,8275320
1846,1,1,Nadiad,9464667
3763,5,2,Bhavnagar,18427789
